Abbreviation,Rank_Name
Unknown                                 ,Unknown
PO                                      ,Police Officer
POF                                     ,Police Officer
POM                                     ,Police Officer
DET                                     ,Detective
DT                                      ,Detective
DT1                                     ,Detective
DT2                                     ,Detective
DT3                                     ,Detective
DTS                                     ,Detective
SDS                                     ,Sergeant
SGT                                     ,Sergeant
SGT DS                                  ,Sergeant
SGT SA                                  ,Sergeant
SSA                                     ,Sergeant
LCD                                     ,Lieutenant
LSA                                     ,Lieutenant
LT                                      ,Lieutenant
LT CD                                   ,Lieutenant
LT SA                                   ,Lieutenant
LT.                                     ,Lieutenant
CPT                                     ,Captain
INS                                     ,Inspector
INSP                                    ,Inspector
DI                                      ,Deputy Inspector
AC                                      ,Chiefs and other ranks
ASCS                                    ,Chiefs and other ranks
CAD                                     ,Chiefs and other ranks
CAP                                     ,Chiefs and other ranks
CHIEF                                   ,Chiefs and other ranks
CIV                                     ,Chiefs and other ranks
CMS                                     ,Chiefs and other ranks
COD                                     ,Chiefs and other ranks
DC                                      ,Chiefs and other ranks
DC SURG                                 ,Chiefs and other ranks
MPO                                     ,Chiefs and other ranks
PAA                                     ,Chiefs and other ranks
PSA                                     ,Chiefs and other ranks
SURG                                    ,Chiefs and other ranks
SV CH SURG                              ,Chiefs and other ranks
T.A                                     ,Chiefs and other ranks
TEA                                     ,Chiefs and other ranks
ASC                                     ,Inactive Ranks
CCA                                     ,Inactive Ranks
CCC                                     ,Inactive Ranks
CD                                      ,Inactive Ranks
CIA                                     ,Inactive Ranks
CLR                                     ,Inactive Ranks
COC                                     ,Inactive Ranks
COH                                     ,Inactive Ranks
COI                                     ,Inactive Ranks
COO                                     ,Inactive Ranks
COP                                     ,Inactive Ranks
COT                                     ,Inactive Ranks
CPB                                     ,Inactive Ranks
CS                                      ,Inactive Ranks
CSO                                     ,Inactive Ranks
CTB                                     ,Inactive Ranks
DCS                                     ,Inactive Ranks
DEY                                     ,Inactive Ranks
DT4                                     ,Inactive Ranks
DT5                                     ,Inactive Ranks
HPD                                     ,Inactive Ranks
HPO                                     ,Inactive Ranks
PA                                      ,Inactive Ranks
PI                                      ,Inactive Ranks
PO`                                     ,Inactive Ranks
PO1                                     ,Inactive Ranks
SCG                                     ,Inactive Ranks
SCS                                     ,Inactive Ranks
SPA                                     ,Inactive Ranks
SRG                                     ,Inactive Ranks
TNT                                     ,Inactive Ranks
TPO                                     ,Inactive Ranks
